,OVERALL SCORE,1) PREVENTION OF THE EMERGENCE OR RELEASE OF PATHOGENS,2) EARLY DETECTION & REPORTING FOR EPIDEMICS OF POTENTIAL INT'L CONCERN,3) RAPID RESPONSE TO AND MITIGATION OF THE SPREAD OF AN EPIDEMIC,4) SUFFICIENT & ROBUST HEALTH SECTOR TO TREAT THE SICK & PROTECT HEALTH WORKERS,"5) COMMITMENTS TO IMPROVING NATIONAL CAPACITY, FINANCING AND ADHERENCE TO NORMS",6) OVERALL RISK ENVIRONMENT AND COUNTRY VULNERABILITY TO BIOLOGICAL THREATS
Cyprus,11.670190108961627,23.03622969932086,11.396806962309457,5.779392159827046,15.801385613252787,63.50709591640255,84.50156611867722
Czechia,13.426461538278414,23.887856411389368,15.508250110494698,6.801181275456917,24.174626562826198,61.68637233549132,103.57615193953565
Germany,15.26770147617957,25.14997009314568,24.778335004028463,7.129452302974421,24.241106664120863,92.76386792333597,116.21338696058343
Djibouti,8.483914506530546,9.842116070919607,7.33266403056155,5.397354256010764,7.983476691324777,38.35382317333823,58.26103770231705
Denmark,15.115339483538179,31.303576796198616,22.84760923975341,6.894052115240777,27.00994338355637,74.36486073648098,110.10739119692177
Egypt,9.076034305333776,9.62695434520835,9.195078011668272,4.6345084862084045,10.218247927514962,38.480050164383314,80.63973141067953
Spain,14.622160923901166,24.47906398664534,24.38812718550835,7.042217502757521,23.203176324803902,78.05061558765836,103.57615193953565
Estonia,13.834108628128341,22.348684492084328,16.546886535300082,7.124375175890913,22.0110663019107,81.74712446709279,105.5470425267488
Ethiopia,10.954240798807238,13.14252785183922,12.972929480816225,6.561303560031011,14.188644803855171,72.13252090021936,52.80719565745476
Finland,15.998688340212231,28.87812899687227,23.57398603424991,7.79971251292519,28.340748855287035,96.499156765419,114.22580544507983
France,14.764408783504807,29.359599955809948,17.81223002087018,6.666016730092095,28.873029010775504,79.8975529872078,114.68421326829733
Gabon,7.721231761250973,20.249932830873878,4.262734093658325,5.338968024945908,6.839602701820233,43.80351564199967,52.80719565745476
United Kingdom,15.500806028087318,30.988526197464772,24.38812718550835,7.5385582193405725,28.214984873786083,76.20636611245182,99.64417648701624
Georgia,13.395876952067834,27.664566096679003,22.973603243505767,6.573086750462676,16.338986207535147,78.05061558765836,67.83728820064194
Ghana,10.313376198859075,15.335340329945783,14.06189763079262,5.58216417528785,11.919490374745713,39.87019486006482,76.05614745785914
Guinea,8.825872140210308,9.028784496019398,12.51267493366458,5.07595732679715,10.883044093525736,43.549080294325606,44.15485225348642
Greece,13.226667877503342,23.335264701788265,18.70727348680381,6.608210964623245,20.900741982601957,78.05061558765836,77.67991600010691
Guatemala,9.30092443259036,9.949246533163185,13.329544555396334,5.296608582713307,9.308715035472723,49.5513564908263,52.378627090761086
Croatia,12.803926280219093,24.5632010932903,15.508250110494698,5.55075949281461,22.695001178467255,72.52615812213344,87.63198092876408
Haiti,9.56157414023803,11.31664507699094,15.658513178374902,5.697360411464933,6.941371270109484,54.953219674364405,43.17072966750746
Hungary,13.669189829940505,25.275215442573643,15.598486188619763,6.801181275456917,23.774364955406796,76.20636611245182,97.68319614140611
India,11.822840063997322,16.61122988661045,17.1848464152467,5.4950725353013175,20.865711359554066,56.24431291038743,80.491514031289
Ireland,13.804239338717608,26.724142465183782,19.12012991357663,6.285540612093471,22.79695749452664,67.158101870486,110.10739119692177
Iran,10.719626137799585,22.521106739500937,12.710827229967036,5.951779017462776,18.468116016842608,30.704715972533844,57.39686199599796
Iceland,12.756278484603051,21.26262324310848,15.083974498895161,6.677470112616562,22.966525666670957,39.87019486006482,110.10739119692177
Israel,12.54817256798967,21.95939655593989,18.094092764106907,6.471696919182995,23.974793504819626,35.45772551278357,86.43827947947189
Italy,13.28839470297193,24.352709235280937,18.927976189896732,6.398385349316848,18.759951979518245,79.8975529872078,88.97658142258867
Jamaica,9.836436099899812,8.531830935222954,9.346028463315037,5.888147859369167,10.441406981071303,51.605161172390275,79.30662894084415
Jordan,11.822840063997322,16.891160516683644,13.872515926105027,6.310926283573728,21.215090631013894,57.40785358735199,75.9086798920143
Japan,14.564952295964417,22.607182609093,24.461511277304147,7.288509268243723,22.76299009540603,81.74712446709279,96.47813079603841
Kazakhstan,12.3699527862076,27.542407657165214,12.809393073768549,5.958777056126323,16.681355540011175,71.21454894567015,84.50156611867722
Kenya,11.132123573317086,17.216181286182973,20.547550880724298,4.46055618136143,11.405228351807251,75.94312456928685,55.52834393217164
Kuwait,10.774114751001473,15.43080095984882,8.81300026574502,6.214781916204822,19.590283646573102,33.32626920590491,85.99100856035449
Lithuania,14.421141840739791,20.471234168731748,22.771858203215007,7.249349795212502,25.52483472285002,76.20636611245182,100.09718896301331
Morocco,10.181541938337208,16.42390553253901,12.379801981241082,5.305125126856016,15.218252354662573,38.35382317333823,69.15263677315984
Monaco,10.124643655959144,20.249932830873878,9.829644534416765,5.895276501559006,19.014006401374836,63.89767157359891,104.18223584560751
Moldova,11.515979052813714,21.95939655593989,14.40617966261421,5.902390349239208,21.631677711812756,45.58706436758489,61.87353809128935
Madagascar,9.56157414023803,10.585998694532655,13.618199557302805,5.347373614316267,8.842916407048628,63.246794029883155,46.26999547632539
Maldives,9.875230322003002,12.28917005273308,9.903139765870609,5.873845900607069,10.218247927514962,41.77059738934581,80.491514031289
Mexico,14.056523010828,22.089367024337065,20.17503014380147,7.5385582193405725,23.807811418915826,83.59927837052668,77.08911138781582
North Macedonia,11.721244453385076,19.358028236687986,15.296773539751008,5.866672437196517,18.06417670539998,56.50275105754966,79.75078240709837
Mali,9.280648174750327,6.700408552141256,11.431310263870222,5.644096444303822,9.538754242524636,67.81137246337471,40.788786989727285
Malta,11.377551023415208,19.582031656238744,10.267177309493423,5.2536839127639325,13.46059142189163,67.158101870486,100.85260510083751
Montenegro,12.040675454530316,18.500285439799473,13.745619497800584,6.175582393891586,19.30290167336771,71.8701694490549,77.08911138781582
Mauritania,8.698801869686045,20.249932830873878,11.977348406654416,5.347373614316267,11.188647118226362,44.185337675527194,52.95011855033059
Mauritius,11.290370187922393,15.478472233000053,13.777392345737882,5.8522801709229,12.089244007223641,65.722285353086,88.82709384192238
Malaysia,13.967893933820145,20.249932830873878,24.802627867180156,7.379976309477483,17.433591878824615,68.20352084624149,101.00374741162561
Nigeria,10.989994025899323,11.933287618492422,15.538355004171233,6.398385349316848,12.216031438351731,76.60133337107736,52.093082209587415
Norway,14.521928167682333,27.093204715714762,17.98158931572981,7.189863741209665,20.47898840035484,85.32140450292228,124.03901956792764
New Zealand,14.849235366911905,23.420510360231123,25.478407135923437,6.81222710240858,21.83890673029333,96.499156765419,106.7614927581797
Pakistan,9.56157414023803,10.374868906728569,12.809393073768549,6.175582393891586,13.62352581719452,54.43730004421389,57.972855469299866
Panama,13.533077849948123,22.262337076260597,19.12012991357663,7.47866755578839,23.90805056204735,51.09123292100983,89.72434544852358
Portugal,13.714323110354064,26.683049035998973,16.925182065123646,6.291903978351347,23.539767863914914,72.52615812213344,106.45776715428033
Romania,12.30464708127824,20.82397199875127,17.328336898973408,5.011307869565813,21.493133556349513,67.158101870486,85.0970722902484
Russia,12.851435537882846,23.633254146372614,17.213587921397483,6.4897954211865025,25.197913162883157,61.68637233549132,66.23263249376511
Saudi Arabia,12.173218222786009,18.318346584667523,19.583157996895803,5.682228353393237,18.941541736688567,59.2206748610544,81.97474569456459
Senegal,10.029270881698759,6.994028996440244,12.51267493366458,6.279165867750829,8.273143956816837,65.0702756872696,62.308285655725726
El Salvador,11.481492874538667,7.400131123300827,19.69137616536528,5.888147859369167,18.101028478871086,63.89767157359891,70.47015221206617
Serbia,12.189707148039329,22.993423883726884,12.611922761231396,5.944766745321942,22.524711098870398,61.68637233549132,77.97546445368795
Sweden,15.18474650689968,20.249932830873878,22.314872202290978,6.182145935547336,23.405338140922204,90.89967555645964,114.37859032021899
Trinidad and Tobago,10.774114751001473,13.042903218686524,6.653680048423504,6.398385349316848,16.338986207535147,55.2112910126565,84.2039492120007
Tunisia,9.77802742192038,12.843050274300541,9.75591317814025,6.317244610893391,7.493002856352973,38.98520940982819,76.79385583675258
Turkey,12.993144446127955,25.981757383635195,16.576124509422712,5.965760929081023,23.539767863914914,72.52615812213344,76.05614745785914
Uruguay,11.394925438799062,23.54821983567907,7.662603166389969,6.041667479445035,17.32148793138666,39.23793882509003,100.55037948995039
Uzbekistan,11.167438484263126,21.52463248537102,9.04306829463904,5.355757418807135,15.022158892831445,76.60133337107736,70.32365563861846
Venezuela,7.510076526975141,8.140241981559365,15.508250110494698,5.07595732679715,9.90307282437436,34.57909774354139,43.59226331974167
South Africa,12.320998805713385,17.72362962891715,19.01043655582158,7.408425330295377,14.587601252097318,50.96280015861216,77.97546445368795
